,Unnamed: 0,level_0,index,ID,Brightness,Colorfulness,Entropy,UniqueColors,Keypoints,Color1R,Color1G,Color1B,Color2R,Color2G,Color2B,Image URL,Title,Author,Sales Rank,Date,Review Score
8577,8577,8577,9611,0781807123,0.57198477,142.85670833824958,6.4145637,50469,0.012730061349693251,240,82,21,227,81,17,http://ecx.images-amazon.com/images/I/51JJnB%2Bg7bL.jpg,Folk Tales from Chile (Library of Folklore),Brenda Hughes,793249.0,"November 1, 1998",4.5
10396,10396,10397,11647,0544236092,0.7896022,86.9023365282856,5.229000599999999,48305,0.015567567567567569,254,253,249,240,253,247,http://ecx.images-amazon.com/images/I/51OM11s96GL.jpg,Gumballs: A Mr. and Mrs. Green Adventure (Green Light Readers Level 2),Keith Baker,578021.0,"August 5, 2014",5.0
5309,5309,5309,5960,0395214076,0.84250015,13.270691786335535,5.426424,6061,0.04320215633423181,244,244,243,162,162,162,http://ecx.images-amazon.com/images/I/51sYyX%2BiRlL.jpg,Pyramid,David Macaulay,319032.0,"September 10, 1975",4.38
4956,4956,4956,5562,0984509836,0.46178445,41.48021441949101,6.0989676,51785,0.014360730593607306,66,93,115,163,162,131,http://ecx.images-amazon.com/images/I/5132rRB2VsL.jpg,Qutlugh Terkan Khatun of Kirman (The Thinking Girl's Treasury of Real Princesses),Shirin Yim Bridges,2958730.0,"October 2, 2010",5.0
3006,3006,3006,3359,1452118949,0.30685118,16.081762798704755,4.0035243,19515,0.010136,2,2,5,252,251,248,http://ecx.images-amazon.com/images/I/51GAbWcE4zL.jpg,Flashlight,Lizi Boyd,34137.0,"August 12, 2014",4.73
8269,8269,8269,9261,1857075234,0.5514894,54.02176484769681,7.535409,107368,0.0560695652173913,199,159,118,206,149,158,http://ecx.images-amazon.com/images/I/617Tbq7QCxL.jpg,Tyrannosaurus Rex: Pop-up Book w/ 3D Model (3D Wall Posters),John Sibbick,2214345.0,"January 1, 1995",5.0
5612,5612,5612,6298,0140508198,0.41810274,110.87151854822201,7.422644,85945,0.01234074074074074,247,78,104,3,110,82,http://ecx.images-amazon.com/images/I/51kBYzQCfLL.jpg,I Like Me! (Picture Puffins),Nancy Carlson,42019.0,"May 15, 1990",4.67
893,893,893,994,1624033938,0.44657117,72.11397951841087,7.629592999999999,77162,0.016810256410256408,45,31,20,125,156,217,http://ecx.images-amazon.com/images/I/51E9yIuRLzL.jpg,Great Moments in Olympic Basketball (Great Moments in Olympic Sports),Doug Williams,4675767.0,"September 1, 2014",0.0
861,861,861,960,1742208169,0.5266354999999999,115.63983115986544,7.4694667,103012,0.03388421052631579,204,12,29,197,209,231,http://ecx.images-amazon.com/images/I/61aS5oooFSL.jpg,Not For Parents London: Everything You Ever Wanted to Know (Lonely Planet Not for Parents London),Lonely Planet,367795.0,"October 1, 2011",4.31
397,397,397,439,0061927317,0.77040464,76.93662681063897,7.0609174,75394,0.031099236641221373,249,225,238,230,118,160,http://ecx.images-amazon.com/images/I/61m6dIyEUSL.jpg,"Pinkalicious: Love, Pinkalicious Reusable Sticker Book",Victoria Kann,8386.0,"December 22, 2009",4.47
811,811,811,903,0756612470,0.51680696,35.628688795737254,7.4734125,51148,0.027855737704918032,241,237,224,51,25,20,http://ecx.images-amazon.com/images/I/51G4%2BNdFjFL.jpg,Albert Einstein,Frieda Wishinsky,396404.0,"August 1, 2005",4.13
9850,9850,9850,11032,0689812477,0.6907026999999999,38.938997374722575,7.364155999999999,98552,0.015419068736141909,197,220,237,191,149,122,http://ecx.images-amazon.com/images/I/51uFsMdIgNL.jpg,My America: A Poetry Atlas of the United States,Lee Bennett Hopkins,212079.0,"September 1, 2000",4.46
10433,10433,10434,11689,0761402691,0.58012694,28.059510162290028,6.5865765,49988,0.015712121212121212,236,236,231,101,140,136,http://ecx.images-amazon.com/images/I/51euoCXiqKL.jpg,Elizabethan England (Cultures of the Past),Ruth Ashby,4863645.0,"September 1, 1999",0.0
4005,4005,4005,4480,0671449028,0.4945468,83.49530488725945,6.150921,59697,0.015298597194388778,67,78,199,60,74,183,http://ecx.images-amazon.com/images/I/61TU%2B6P-3yL.jpg,The Going-To-Bed Book,Sandra Boynton,395.0,"November 30, 1982",4.65
11376,11376,11377,12760,0545402875,0.4918148,42.41060468915745,7.5667114,81598,0.03921303258145364,24,55,43,178,153,132,http://ecx.images-amazon.com/images/I/51zL7q7w6IL.jpg,There Was an Old Lady Who Swallowed Some Books!,Lucille Colandro,16650.0,"July 1, 2012",3.85
3937,3937,3937,4406,0553522817,0.71463776,47.07855321918065,7.238958999999999,80817,0.02132264529058116,228,233,243,155,168,199,http://ecx.images-amazon.com/images/I/610nwgiwXfL.jpg,Ice Team (Paw Patrol) (Glitter Picturebook),Random House,170587.0,"July 28, 2015",4.74
2493,2493,2493,2772,1612286852,0.5463348000000001,79.22376060908255,7.699032000000001,106094,0.027491428571428573,194,163,91,198,215,75,http://ecx.images-amazon.com/images/I/51WXUiiqwtL.jpg,I am Israeli: The Children of Israel (Voices from Israel: Set 1),Eva Weiss,1072990.0,"July 30, 2015",5.0
6129,6129,6129,6871,0062075489,0.6161899000000001,74.57358588075594,7.6025968,129352,0.043054108216432865,219,154,88,244,204,108,http://ecx.images-amazon.com/images/I/61WROc1dhlL.jpg,The Berenstain Bears' Dinosaur Dig,Jan Berenstain,1332.0,"July 3, 2012",4.7
11448,11448,11449,12841,0670014672,0.63960767,90.39463105694557,6.13495,56760,0.012881818181818182,190,227,223,228,57,41,http://ecx.images-amazon.com/images/I/512lP5u7i-L.jpg,Red Truck,Kersten Hamilton,40369.0,"August 30, 2012",4.8
6644,6644,6644,7445,0395292034,0.63510156,44.97094358365588,7.1530933,52314,0.02230208333333333,213,236,249,21,42,32,http://ecx.images-amazon.com/images/I/51EUkkLK7LL.jpg,Paddle-to-the-Sea (Sandpiper Books),Holling C. Holling,22409.0,"February 19, 1980",4.82
3022,3022,3022,3377,044842519X,0.6123713000000001,46.99628586373346,7.1315656,65031,0.02464736842105264,228,212,187,196,168,132,http://ecx.images-amazon.com/images/I/51D-PZJBmZL.jpg,Henri Matisse: Drawing with Scissors (Smart About Art),Jane O'Connor,75814.0,"March 18, 2002",4.17
9339,9339,9339,10466,1416927204,0.68111676,64.54462762625433,6.032788,74587,0.016301255230125523,158,218,246,124,84,64,http://ecx.images-amazon.com/images/I/51CpWYUcSeL.jpg,Even Firefighters Go to the Potty: A Potty Training Lift-the-Flap Story,Wendy Wax,11149.0,"October 14, 2008",4.41
3449,3449,3449,3858,0142427276,0.5373411,23.716107433505048,7.8811755,44295,0.04155828220858896,80,95,110,217,225,235,http://ecx.images-amazon.com/images/I/51bXnYx8loL.jpg,Scorpion Mountain (The Brotherband Chronicles),John A. Flanagan,25974.0,"September 8, 2015",4.83
11554,11554,11555,12961,0679882820,0.7998019000000001,68.17947929413714,5.9056487,55185,0.02100552486187845,250,248,238,205,234,113,http://ecx.images-amazon.com/images/I/513JjZlg9yL.jpg,"Mr. Brown Can Moo, Can You : Dr. Seuss's Book of Wonderful Noises (Bright and Early Board Books)",Dr. Seuss,2756.0,"November 26, 1996",4.67
565,565,565,630,0439156084,0.16850308,60.29861388911929,6.373007,53060,0.016349030470914128,4,16,33,17,7,3,http://ecx.images-amazon.com/images/I/51CGNX8G9DL.jpg,Nba: Team Usa 2000,Chris Ekstrand,14462813.0,"June 1, 2000",0.0
3636,3636,3636,4073,1600604595,0.5872518,69.88259795544077,7.179903,115215,0.02955882352941177,216,210,123,122,92,70,http://ecx.images-amazon.com/images/I/510e%2BNa2JeL.jpg,The Mangrove Tree: Planting Trees to Feed Families,Susan L. Roth,908726.0,"May 1, 2011",4.88
7905,7905,7905,8865,0531070689,0.57531786,59.45716560953312,7.4443044999999985,85331,0.02457441253263708,127,176,108,111,158,203,http://ecx.images-amazon.com/images/I/51mhnl1jRCL.jpg,Dragon's Fat Cat,Dav Pilkey,31834.0,"September 1, 1995",4.94
7433,7433,7433,8346,0860375390,0.69584274,72.69326971405539,6.4493155,73213,0.020393034825870647,250,246,241,182,165,105,http://ecx.images-amazon.com/images/I/51gIEh6dEHL.jpg,Mosques of the World Activity Book (Discover Islam Sticker Activity Books),Aysenur Gunes,323406.0,"June 9, 2015",5.0
3534,3534,3534,3956,1416995595,0.8984747,28.665682855814534,3.6819315,29698,0.015771084337349396,252,252,250,183,162,124,http://ecx.images-amazon.com/images/I/41RQ6dv1k2L.jpg,We'll Always Have Summer (The Summer I Turned Pretty),Jenny Han,35106.0,"April 24, 2012",4.5
6209,6209,6209,6957,0823964612,0.6991628000000001,123.13276965081232,7.127267,60116,0.011301204819277108,241,230,98,251,25,45,http://ecx.images-amazon.com/images/I/51iLiQrhZRL.jpg,Why Vietnamese Immigrants Came to America (Coming to America),Lewis K. Parker,1940114.0,"August 1, 2003",0.0
5346,5346,5346,5998,0766052516,0.62656826,42.71936084721119,7.553093400000002,61476,0.04063095238095238,240,220,181,181,157,129,http://ecx.images-amazon.com/images/I/516NP7DUlnL.jpg,Ancient Persia (Civilizations of the Ancient World),"Neil D., Neil Bramwell",4354528.0,"August 1, 2004",4.0
11846,11846,11847,13287,1434239020,0.6765815,43.927325104907396,7.4811993,54531,0.023223188405797103,215,225,236,128,163,199,http://ecx.images-amazon.com/images/I/51BMivdKe7L.jpg,Gold Medal Swim (Jake Maddox Sports Stories),Jake Maddox,482140.0,"January 1, 2012",5.0
2125,2125,2125,2362,0375868461,0.81868565,48.32944979145168,4.794587,41593,0.022228287841191068,254,254,252,148,158,169,http://ecx.images-amazon.com/images/I/51ceJli9%2BaL.jpg,Alex the Parrot: No Ordinary Bird: A True Story,Stephanie Spinner,420938.0,"October 9, 2012",4.94
8903,8903,8903,9981,1426307551,0.6854456999999999,99.66174001955406,6.5840735,68363,0.02377039274924472,181,211,233,249,214,32,http://ecx.images-amazon.com/images/I/51VVRUob4jL.jpg,National Geographic Readers: Cats vs. Dogs,Elizabeth Carney,21451.0,"January 11, 2011",4.76
4982,4982,4982,5591,0689823215,0.4380135,21.883605833211003,7.2056320000000005,49852,0.03297423887587822,87,94,106,149,155,170,http://ecx.images-amazon.com/images/I/51KjiQJnwkL.jpg,Roanoke: The Lost Colony--An Unsolved Mystery from History,Heidi E. Y. Stemple,140503.0,"July 1, 2003",4.13
9841,9841,9841,11022,1426304374,0.32640654,43.218394237085036,7.292217999999999,86471,0.0407025641025641,52,42,21,117,94,52,http://ecx.images-amazon.com/images/I/61QIRG%2BrXfL.jpg,Young Abe Lincoln: The Frontier Days: 1809-1837,Cheryl Harness,798961.0,"September 23, 2008",4.76
5703,5703,5703,6396,0545405750,0.48854685,57.57465806577635,7.396323700000001,89064,0.020023460410557185,120,151,56,111,103,63,http://ecx.images-amazon.com/images/I/519fQGqVyUL.jpg,I Am #2: Albert Einstein,Grace Norwich,97348.0,"August 1, 2012",4.91
2123,2123,2123,2360,0516271768,0.44176817,73.03718080799828,7.399222,92467,0.019724465558194768,133,75,63,55,41,36,http://ecx.images-amazon.com/images/I/5158M72PPPL.jpg,Independence Day (Rookie Read-About Holidays),David F. Marx,4311285.0,"March 1, 2001",5.0
1242,1242,1242,1381,1421566303,0.65360236,85.01861622729727,7.251760000000001,59803,0.015519519519519518,130,170,188,214,238,232,http://ecx.images-amazon.com/images/I/51IsYRbeM7L.jpg,Jaco the Galactic Patrolman,Akira Toriyama,216962.0,"January 6, 2015",4.77
6230,6230,6230,6979,0374380503,0.7321449999999999,70.14916912791692,7.057482,97408,0.02715789473684211,247,246,226,191,165,104,http://ecx.images-amazon.com/images/I/51YXYKeX-WL.jpg,Gator Gumbo: A Spicy-Hot Tale,Candace Fleming,487987.0,"March 9, 2004",4.73
10752,10752,10753,12051,0756536758,0.4205420999999999,49.89051545813454,7.297523,47769,0.022384615384615385,219,166,124,16,19,24,http://ecx.images-amazon.com/images/I/51eueXBTHPL.jpg,"Miguel de Cervantes: Novelist, Poet, and Playwright (Signature Lives: Renaissance Era)",Don Nardo,4183445.0,"January 1, 2008",0.0
3861,3861,3861,4320,0380709538,0.43043256,79.79331678032355,6.3238306,65420,0.029441176470588238,79,72,171,96,87,190,http://ecx.images-amazon.com/images/I/51lQjFtHeGL.jpg,Runaway Ralph,Beverly Cleary,33798.0,"August 15, 2006",4.68
7332,7332,7332,8227,082340787X,0.56801605,56.37250375934804,7.3150015,97390,0.03139668960386833,118,103,58,181,166,106,http://ecx.images-amazon.com/images/I/616DT7RCAML.jpg,The Kitchen Knight: A Tale of King Arthur,Margaret Hodges,592239.0,"September 1, 1990",4.55
9341,9341,9341,10468,0375824936,0.7397887,118.140444425634,6.219865,50728,0.012208219178082192,251,245,69,203,146,197,http://ecx.images-amazon.com/images/I/51%2BTRaSKFeL.jpg,The Nose Book,Al Perkins,55138.0,"June 24, 2003",4.36
10110,10110,10111,11327,030712584X,0.6884657,42.39349804939508,7.3173895,120629,0.036988,249,242,233,231,240,247,http://ecx.images-amazon.com/images/I/61VvypZ92XL.jpg,Just Me and My Mom (A Little Critter Book),Mercer Mayer,3031.0,"October 9, 2001",4.63
6338,6338,6338,7099,0763660515,0.4875121,145.43422333243345,5.053546,28586,0.010172307692307692,5,179,231,252,252,251,http://ecx.images-amazon.com/images/I/51O7VkDVr1L.jpg,Timmy Failure: Now Look What You've Done,Stephan Pastis,214779.0,"February 25, 2014",4.71
2350,2350,2350,2613,0394800028,0.4640210999999999,69.78098420378204,5.9512377,37485,0.017177142857142856,33,87,143,253,251,248,http://ecx.images-amazon.com/images/I/51Rx-u--omL.jpg,The Cat in the Hat Comes Back,Dr. Seuss,12423.0,"September 12, 1958",4.47
7343,7343,7343,8240,0872266923,0.68786633,39.19705675234298,7.328365299999999,68663,0.033309134906231094,238,234,219,235,241,237,http://ecx.images-amazon.com/images/I/51320QY9N4L.jpg,The Atlas of the Renaissance World,Carson-Dellosa Publishing,4840288.0,"February 9, 2001",3.5
7030,7030,7030,7880,1424213428,0.27440703,84.99352743383994,6.9628468,86588,0.028256,169,62,44,12,13,19,http://ecx.images-amazon.com/images/I/61EYzeD2apL.jpg,Kwanzaa (American Holidays),Sandy Sepehri,14039999.0,"January 1, 2007",0.0
5916,5916,5916,6635,0756615186,0.71327126,110.37819014400516,6.744464,57694,0.01765299684542587,228,234,241,220,7,26,http://ecx.images-amazon.com/images/I/51FGqthdVZL.jpg,My First Touch & Feel Picture Cards: First Words (My 1st T&F Picture Cards),DK,87966.0,"December 5, 2005",4.83
2556,2556,2556,2843,1107615534,0.26873067,29.842008424644014,7.0496755,43249,0.013453125,26,29,50,31,23,16,http://ecx.images-amazon.com/images/I/51v95HImCTL.jpg,The Tempest (Cambridge School Shakespeare),Rex Gibson,130215.0,"February 24, 2014",4.5
2153,2153,2153,2391,0030367778,0.61804193,104.4490327420086,3.6368673,13203,0.002453333333333333,21,206,221,49,202,222,http://ecx.images-amazon.com/images/I/41d3cgimqwL.jpg,Holt Modern Chemistry: Study Guide Student Edition,RINEHART AND WINSTON HOLT,261528.0,"January 1, 2006",3.0
1537,1537,1537,1708,0195107187,0.42043582,38.386455076438345,6.2033763,40894,0.027269005847953217,56,106,60,38,88,119,http://ecx.images-amazon.com/images/I/51Q2FHRHCEL.jpg,A Wonder Book for Girls and Boys (The Iona and Peter Opie Library of Children's Literature),Nathaniel Hawthorne,2258507.0,"December 19, 1996",3.91
6931,6931,6931,7763,1479522872,0.46227664,105.63810240896437,6.1684199999999985,82681,0.0113682092555332,83,45,126,173,179,12,http://ecx.images-amazon.com/images/I/51-iHGjxOWL.jpg,Little Lion Shares (Hello Genius),Michael Dahl,60874.0,"February 1, 2014",4.48
10385,10385,10386,11636,0316055344,0.30742273,90.11247250745708,7.461382,84180,0.021380116959064333,48,19,10,168,76,32,http://ecx.images-amazon.com/images/I/51hqwfbW9QL.jpg,Moonshadow #2: The Nightmare Ninja,Simon Higgins,2364787.0,"June 12, 2012",5.0
3261,3261,3261,3649,079104727X,0.5695933000000001,46.267048956563436,6.961207000000001,11881,0.04842726081258191,187,198,205,159,174,185,http://ecx.images-amazon.com/images/I/211YNH6APWL.jpg,The Composite Guide to Hockey  (Composite Guides),Carrie L. Muskat,3257954.0,"December 1, 1997",0.0
657,657,657,730,053114786X,0.61902636,76.6464663760997,6.9541309999999985,68247,0.019557603686635942,98,162,201,165,183,111,http://ecx.images-amazon.com/images/I/51q1EuxINXL.jpg,The Supreme Court (True Books: American History),Christine Taylor-Butler,723647.0,"March 1, 2008",3.98
9091,9091,9091,10194,1404239065,0.6798812,94.22744736269276,7.2195697,97563,0.028808510638297875,230,248,155,212,240,115,http://ecx.images-amazon.com/images/I/51q0i5JZ8UL.jpg,Chemicals & Reactions (Science Factory),Jon Richards,1780809.0,"January 30, 2008",0.0
3199,3199,3199,3582,0316253901,0.55066806,119.01736310427349,6.7650023,67435,0.018654639175257733,39,202,228,234,224,72,http://ecx.images-amazon.com/images/I/51TjjOYzdxL.jpg,"Steve, Raised by Wolves",Jared Chapman,628465.0,"September 1, 2015",4.39
553,553,553,613,1580130119,0.82830805,84.86580672860603,4.690943,42152,0.006237903225806452,254,253,251,247,242,247,http://ecx.images-amazon.com/images/I/51HYRHKM8TL.jpg,The Colors of My Jewish Year (Very First Board Books),Marji Gold-Vukson,724864.0,"March 1, 1998",4.42
10143,10143,10144,11365,0898004284,0.60289633,103.8592040396147,7.079677,95484,0.020761421319796955,233,135,51,226,213,99,http://ecx.images-amazon.com/images/I/511Mt4oepwL.jpg,Jewel of Friendship (A Jataka Tale),Magdalena Duran,5510224.0,"February 16, 2009",5.0
414,414,414,460,0762432195,0.6074463000000001,65.82151652839157,7.4192589999999985,103687,0.04731891891891892,251,241,193,194,160,94,http://ecx.images-amazon.com/images/I/61yLkyr3kDL.jpg,The Classic Tales of Brer Rabbit,Joel Chandler Harris,44514.0,"January 29, 2008",4.6
6566,6566,6566,7356,0316264814,0.6224754,79.52658000276502,7.746731299999999,117631,0.05571847507331378,243,234,217,183,149,39,http://ecx.images-amazon.com/images/I/61E70qroo8L.jpg,Ever After High: Once Upon a Pet: A Collection of Little Pet Stories,Suzanne Selfors,289720.0,"October 27, 2015",4.82
11693,11693,11694,13113,0688073336,0.22031422,71.05905516418382,5.799661,37846,0.013318385650224215,22,3,1,168,83,20,http://ecx.images-amazon.com/images/I/51U52Hx9lNL.jpg,The Paper Crane (Reading Rainbow Book),Molly Bang,349300.0,"July 15, 1987",4.72
2309,2309,2309,2569,1489631461,0.5177019,37.64236360512688,7.2993070000000015,53130,0.034085333333333336,23,22,36,253,252,250,http://ecx.images-amazon.com/images/I/61A5fxxAqiL.jpg,Los Angeles Kings (Inside the NHL),Aaron Carr,6444859.0,"July 15, 2015",0.0
7699,7699,7699,8637,0471310115,0.5295233,76.33098174124173,6.901121000000002,70488,0.034650273224043716,250,246,240,176,53,43,http://ecx.images-amazon.com/images/I/61JkH6IoBVL.jpg,"Janice VanCleave's 201 Awesome, Magical, Bizarre, & Incredible Experiments",Janice VanCleave,143518.0,"April 29, 1994",4.42
3948,3948,3948,4418,0884896897,0.57649463,81.25057837541578,7.660162400000001,49250,0.01672941176470588,244,227,236,69,73,150,http://ecx.images-amazon.com/images/I/51smsp-5FxL.jpg,Ready-to-Go Game Shows That Teach Serious Stuff: Bible Edition,Michael Theisen,993243.0,"August 29, 2001",4.67
1966,1966,1966,2185,0896866912,0.64473605,40.59924055562597,6.1933365,23318,0.02855255255255256,247,225,177,74,128,146,http://ecx.images-amazon.com/images/I/51wT-ej1WML.jpg,An Eye to the Sky (Adventures in Space Series),Mark Dudley,19697647.0,"November 1, 1992",0.0
2718,2718,2718,3027,1619303256,0.4872180999999999,115.5307471212096,6.6450960000000014,62047,0.01774294670846395,7,138,196,210,142,100,http://ecx.images-amazon.com/images/I/513TTTZjr%2BL.jpg,Technology: Cool Women Who Code (Girls in Science),Andi Diehn,1935840.0,"August 11, 2015",4.0
8952,8952,8952,10035,0545565324,0.5398734000000001,70.112009148461,7.5672398,91835,0.01992462311557789,134,79,61,246,221,166,http://ecx.images-amazon.com/images/I/51R8oa-js8L.jpg,Mission: Mars,Pascal Lee,1118874.0,"October 29, 2013",4.95
8260,8260,8260,9251,0822594285,0.5032508,89.86658510108542,7.521244,100101,0.02183644859813084,132,181,104,20,16,5,http://ecx.images-amazon.com/images/I/51-mvrE8VKL.jpg,Rally Cars (Motor Mania),Jeffrey Zuehlke,5082947.0,"February 1, 2009",0.0
11468,11468,11469,12861,0395587611,0.72997546,38.883685607562974,7.09105,77228,0.04157059314954052,176,170,134,235,233,212,http://ecx.images-amazon.com/images/I/51BCM8RH0KL.jpg,An Island Christmas,Lynn Joseph,216403.0,"October 1, 1992",5.0
1726,1726,1726,1919,0395919096,0.8221707,102.78901422297442,5.015316,56999,0.010639511201629329,252,252,94,246,240,225,http://ecx.images-amazon.com/images/I/515gBLvuZIL.jpg,Curious George and the Hot Air Balloon,H. A. Rey,41239.0,"October 1, 1998",4.58
1105,1105,1105,1234,1883672066,0.6365633,79.20470153018594,6.0372105000000005,61589,0.009147132169576059,100,187,234,124,190,163,http://ecx.images-amazon.com/images/I/51mDI0ipOnL.jpg,Pretend Soup and Other Real Recipes: A Cookbook for Preschoolers and Up,Mollie Katzen,13164.0,"March 1, 1994",4.61
7862,7862,7862,8818,0399528970,0.68876916,48.73641292117818,7.374794,61586,0.03584931506849315,180,167,141,239,235,222,http://ecx.images-amazon.com/images/I/51RSGZD6DRL.jpg,Wide Awake: A Buddhist Guide for Teens,Diana Winston,55374.0,"August 5, 2003",4.72
9364,9364,9364,10495,0399257829,0.63265026,42.202126126507686,7.287055499999999,101508,0.046123076923076926,210,236,245,108,159,75,http://ecx.images-amazon.com/images/I/61Im7D8R7cL.jpg,Mossy,Jan Brett,39974.0,"September 18, 2012",4.83
8997,8997,8997,10086,0448439026,0.7081304,40.09663979335113,7.496096,77896,0.042819767441860467,227,245,240,188,156,125,http://ecx.images-amazon.com/images/I/514K3Ec4qrL.jpg,Who Was Daniel Boone?,Sydelle Kramer,49617.0,"September 7, 2006",4.76
4176,4176,4176,4672,0545405742,0.41931543,69.28994887637424,6.7708035,71997,0.014257309941520468,72,108,147,122,85,63,http://ecx.images-amazon.com/images/I/51QWUB5O94L.jpg,I Am #1: Sacagawea,Grace Norwich,126367.0,"August 1, 2012",4.28
55,55,55,62,0545279712,0.60444,38.061179890143535,7.4107065,71248,0.03907602339181287,136,176,157,65,104,117,http://ecx.images-amazon.com/images/I/51WoOckbT2L.jpg,Wolves of the Beyond #5: Spirit Wolf,Kathryn Lasky,36521.0,"April 30, 2013",4.84
4973,4973,4973,5579,068815283X,0.636548,102.27409419678094,7.0064506999999985,89174,0.03873604060913705,252,247,176,165,167,23,http://ecx.images-amazon.com/images/I/61PEPs0HHDL.jpg,Jack's Garden,Henry Cole,81019.0,"March 28, 1997",4.6
10509,10509,10510,11771,141698271X,0.6060257,99.91377682662392,7.665990400000001,104882,0.034238095238095234,249,233,187,5,176,225,http://ecx.images-amazon.com/images/I/516tCGzGfaL.jpg,Athena the Brain (Goddess Girls),Joan Holub,257069.0,"April 6, 2010",4.47
7247,7247,7247,8125,0859537986,0.5352478,83.94174177969055,6.707644500000002,102723,0.030332,108,165,148,58,86,141,http://ecx.images-amazon.com/images/I/61hriGHgtEL.jpg,Ten Little Monkeys Jumping on the Bed (Classic Books With Holes),Annie Kubler,34007.0,"September 1, 2001",4.51
4527,4527,4527,5083,0064462242,0.25301293,79.06323150981841,6.668707,91563,0.03211764705882353,15,6,3,155,68,50,http://ecx.images-amazon.com/images/I/61qattA-FYL.jpg,Seymour Simon's Book of Trucks,Seymour Simon,312042.0,April 2002,4.29
3993,3993,3993,4467,0394848357,0.70267314,101.291262905932,6.6997156,100309,0.024069246435845213,253,252,249,230,134,44,http://ecx.images-amazon.com/images/I/61cZJfAlhQL.jpg,The Berenstain Bears Go to the Doctor (First Time Books),Stan Berenstain,2708.0,"October 12, 1981",4.77
11431,11431,11432,12819,1556525265,0.6341512,41.16799126975042,5.440404,31759,0.014155988857938718,167,188,239,111,92,81,http://ecx.images-amazon.com/images/I/51phcoM8sQL.jpg,"The Art of the Catapult: Build Greek Ballistae, Roman Onagers, English Trebuchets, and More Ancient Artillery",William Gurstelle,133513.0,"July 1, 2004",4.42
7157,7157,7157,8028,0394827996,0.7716128000000001,46.744311741681,5.7936597,52952,0.03202577319587629,254,254,253,133,182,209,http://ecx.images-amazon.com/images/I/51YH31UPCZL.jpg,Fish is Fish,Leo Lionni,155373.0,"February 12, 1974",4.64
8849,8849,8849,9921,1936749750,0.6744003000000001,102.42155198354521,7.244205,74896,0.017147869674185464,234,232,73,134,85,67,http://ecx.images-amazon.com/images/I/51T-O8iaQJL.jpg,Robotics: DISCOVER THE SCIENCE AND TECHNOLOGY OF THE FUTURE with 20 PROJECTS (Build It Yourself),Kathy Ceceri,33503.0,"August 1, 2012",4.32
4628,4628,4628,5196,0689806876,0.7492652,90.13242576449332,6.6107283,67155,0.0280790273556231,248,244,230,245,214,67,http://ecx.images-amazon.com/images/I/51uJsLthpHL.jpg,Henry y Mudge con Barro Hasta el Rabo: (Henry and Mudge in Puddle Trouble) (Henry & Mudge) (Spanish Edition),Cynthia Rylant,392845.0,"August 1, 1996",4.91
8834,8834,8834,9904,0545821266,0.47146037,67.2563790430994,7.763149,89659,0.040804804804804806,58,39,24,234,220,209,http://ecx.images-amazon.com/images/I/51HDFy7y0FL.jpg,Goosebumps The Movie: Monster Survival Guide,Susan Lurie,25863.0,"August 25, 2015",4.79
4553,4553,4553,5113,1587171384,0.2458637,56.23291943790896,7.183987599999999,62715,0.012046783625730995,20,25,33,11,9,5,http://ecx.images-amazon.com/images/I/51WTsAhHLcL.jpg,See More Readers: Super Storms -Level 2,Seymour Simon,221523.0,"March 1, 2002",4.72
10026,10026,10027,11228,0531205169,0.28061843,68.15600692184626,6.725357000000002,80265,0.02643809523809524,123,27,22,85,23,16,http://ecx.images-amazon.com/images/I/51GJ9jKKRrL.jpg,You Wouldn't Want to Be a Samurai!: A Deadly Career You'd Rather Not Pursue,Fiona MacDonald,147670.0,"September 1, 2009",5.0
256,256,256,286,9706433902,0.58192575,35.77564697654292,7.305832400000001,60337,0.02161212121212121,225,219,177,114,92,76,http://ecx.images-amazon.com/images/I/51kB0hyEX%2BL.jpg,La Independencia para Ni̱os (Spanish Edition),Francisco Trujillo,3791172.0,"September 5, 2006",0.0
10337,10337,10338,11581,0803740816,0.60587466,26.487924026618124,7.534695,51117,0.03373413897280967,239,237,232,214,220,226,http://ecx.images-amazon.com/images/I/51YSs0SyzhL.jpg,The War that Saved My Life,Kimberly Brubaker Bradley,20234.0,"January 8, 2015",4.77
5195,5195,5195,5832,1580370721,0.7207279000000001,78.62270847479516,7.2569637,103401,0.03496675191815857,250,241,214,221,160,96,http://ecx.images-amazon.com/images/I/61n5BhD1qML.jpg,"Renaissance, Grades 5 - 8",Patrick Hotle Ph.D.,4047597.0,"January 1, 1998",4.0
10801,10801,10802,12105,1897522592,0.77933246,51.56196149325408,4.6521089999999985,33207,0.011013698630136988,252,250,248,212,134,101,http://ecx.images-amazon.com/images/I/51Yd3UmNllL.jpg,"Dude, Where's Your Helmet?",David A. Duncan,5216670.0,"September 1, 2009",5.0
2446,2446,2446,2721,1467712043,0.69234765,91.98722255908363,7.086039,78924,0.01729274004683841,245,243,220,145,183,218,http://ecx.images-amazon.com/images/I/51pdGLSu%2BGL.jpg,Apple Days: A Rosh Hashanah Story (High Holidays),Allison Sarnoff Soffer,634178.0,"August 1, 2014",4.35
